+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                     ;
+-------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; SRAM                                                                                      ; 8240  ; 4              ; 3            ; 4              ; 50     ; 4               ; 4             ; 4               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; VGAtiming                                                                                 ; 3     ; 2              ; 1            ; 2              ; 24     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; myTest|altpll_component|auto_generated                                                    ; 2     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; myTest                                                                                    ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_1 ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_0 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider|LPM_DIVIDE_component|auto_generated|divider|divider           ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider|LPM_DIVIDE_component|auto_generated|divider                   ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider|LPM_DIVIDE_component|auto_generated                           ; 40    ; 0              ; 0            ; 0              ; 38     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|areaDivider                                                               ; 40    ; 38             ; 0            ; 38             ; 38     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[3].shaderLoopX[3].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[3].shaderLoopX[2].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[3].shaderLoopX[1].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[3].shaderLoopX[0].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[2].shaderLoopX[3].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[2].shaderLoopX[2].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[2].shaderLoopX[1].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[2].shaderLoopX[0].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[1].shaderLoopX[3].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[1].shaderLoopX[2].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[1].shaderLoopX[1].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[1].shaderLoopX[0].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[0].shaderLoopX[3].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[0].shaderLoopX[2].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[0].shaderLoopX[1].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer|shaderLoopY[0].shaderLoopX[0].shader                                      ; 263   ; 26             ; 27           ; 26             ; 513    ; 26              ; 26            ; 26              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; tiledRasterizer                                                                           ; 957   ; 0              ; 0            ; 0              ; 8205   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_1        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_0        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div|LPM_DIVIDE_component|auto_generated|divider|divider                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div|LPM_DIVIDE_component|auto_generated|divider                          ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div|LPM_DIVIDE_component|auto_generated                                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z2div                                                                      ; 36    ; 18             ; 0            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_1        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_0        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div|LPM_DIVIDE_component|auto_generated|divider|divider                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div|LPM_DIVIDE_component|auto_generated|divider                          ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div|LPM_DIVIDE_component|auto_generated                                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z1div                                                                      ; 36    ; 18             ; 0            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_1        ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div|LPM_DIVIDE_component|auto_generated|divider|divider|add_sub_0        ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div|LPM_DIVIDE_component|auto_generated|divider|divider                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div|LPM_DIVIDE_component|auto_generated|divider                          ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div|LPM_DIVIDE_component|auto_generated                                  ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|z0div                                                                      ; 36    ; 18             ; 0            ; 18             ; 17     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|binnedGeometry|altsyncram_component|auto_generated                         ; 170   ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|binnedGeometry                                                             ; 170   ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|inputGeometry|altsyncram_component|auto_generated                          ; 170   ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core|inputGeometry                                                              ; 170   ; 157            ; 0            ; 157            ; 144    ; 157             ; 157           ; 157             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; transform_core                                                                            ; 36    ; 0              ; 10           ; 0              ; 931    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
